iter	Logloss
0	0.6930698395
1	0.6929786682
2	0.6929242706
3	0.6928635406
4	0.6927825928
5	0.6927282715
6	0.69264328
7	0.6925692749
8	0.6924794769
9	0.6923882294
10	0.6923144531
11	0.6922060394
12	0.6921417236
13	0.6920101166
14	0.6918963623
15	0.6918476868
16	0.6917865753
17	0.6916448975
18	0.6915778351
19	0.6915077972
20	0.6914404297
21	0.6913770294
22	0.6913202667
23	0.6912732697
24	0.6912063599
25	0.6911334229
26	0.6910917664
27	0.6910388184
28	0.6909841919
29	0.6909208679
30	0.690871048
31	0.690813446
32	0.6907766724
33	0.690735321
34	0.6906861877
35	0.6906570435
36	0.6905813599
37	0.6905084229
38	0.6904602814
39	0.6904304504
40	0.6903733063
41	0.6903062439
42	0.6902414703
43	0.6901984406
44	0.690150528
45	0.6901101685
46	0.6900764465
47	0.6900343323
48	0.69001297
49	0.6899719238
50	0.6899028015
51	0.6898605347
52	0.689724884
53	0.6897019196
54	0.689654541
55	0.6896228027
56	0.6895909882
57	0.6895651245
58	0.6894758606
59	0.6894512939
60	0.6894155884
61	0.6893790436
62	0.6893554687
63	0.6892819214
64	0.6892610931
65	0.6892271423
66	0.6892004395
67	0.6891730499
68	0.6891123962
69	0.6890322876
70	0.6889952087
71	0.6889128113
72	0.688894043
73	0.6888766479
74	0.6888497925
75	0.6888266754
76	0.6887812805
77	0.6887326813
78	0.6886671448
79	0.6886490631
80	0.6886125946
81	0.6885957336
82	0.6885649109
83	0.6885420227
84	0.6884642029
85	0.6883776855
86	0.6883488464
87	0.6882835388
88	0.6882648468
89	0.6882392883
90	0.6882160187
91	0.688141861
92	0.6881268311
93	0.6881057739
94	0.6880900574
95	0.6880744934
96	0.6880078888
97	0.6879898834
98	0.6879667664
99	0.6879511261
100	0.6879241943
101	0.6879122925
102	0.6878747559
103	0.6878561401
104	0.6878353882
105	0.6878211975
106	0.6877601624
107	0.6877461243
108	0.6877280426
109	0.6876579285
110	0.6876488495
111	0.6876293945
112	0.6876046753
113	0.6875733948
114	0.6875595093
115	0.6875285339
116	0.6875084686
117	0.6874797058
118	0.6874460602
119	0.687385788
120	0.6873703003
121	0.6873336792
122	0.6873107147
123	0.6872964478
124	0.6872781372
125	0.6872621155
126	0.6872360992
127	0.6871987915
128	0.6871879578
129	0.6871544647
130	0.6871266174
131	0.6871176147
132	0.6870861816
133	0.6870723724
134	0.687064743
135	0.687052002
136	0.6870281982
137	0.6870095825
138	0.6869760132
139	0.6869129944
140	0.6869088745
141	0.6868511963
142	0.6868453979
143	0.6867910004
144	0.6867770386
145	0.6867507935
146	0.6867172241
147	0.686678772
148	0.6866685486
149	0.6866362
150	0.6866262817
151	0.6866118622
152	0.6865547943
153	0.6865454102
154	0.6865335083
155	0.6865193176
156	0.6865106201
157	0.6864987946
158	0.6864884186
159	0.6864792633
160	0.6864710999
161	0.6864624786
162	0.6864183044
163	0.6863937378
164	0.6863848877
165	0.6863769531
166	0.6863658142
167	0.6863552856
168	0.6863486481
169	0.6863194275
170	0.6862652588
171	0.686257019
172	0.6862411499
173	0.6862101746
174	0.6862010956
175	0.6861923218
176	0.6861542511
177	0.6861278534
178	0.6861029816
179	0.6860936737
180	0.6860643005
181	0.6860557556
182	0.6860083008
183	0.6859959412
184	0.6859806824
185	0.6859695435
186	0.6859623718
187	0.685949707
188	0.6859376526
189	0.6859072876
190	0.6858937836
191	0.6858894348
192	0.6858837891
193	0.6858605957
194	0.6858311462
195	0.685826416
196	0.6858139038
197	0.6858068085
198	0.6857949829
199	0.6857688141
200	0.6857641602
201	0.6857543182
202	0.6857250977
203	0.6857064819
204	0.6857041168
205	0.6857009125
206	0.6856994629
207	0.6856889343
208	0.6856531525
209	0.6856459045
210	0.6856283569
211	0.6856204224
212	0.6856147766
213	0.6855975342
214	0.6855914307
215	0.6855851746
216	0.6855789948
217	0.6855581665
218	0.6855503082
219	0.6855439758
220	0.6854910278
221	0.6854811096
222	0.6854421997
223	0.6854238129
224	0.6854159546
225	0.6854124451
226	0.6854045868
227	0.685379715
228	0.6853675842
229	0.6853356934
230	0.6853216553
231	0.6853070068
232	0.6852807617
233	0.6852767944
234	0.6852510071
235	0.6852268982
236	0.6852182007
237	0.6851948547
238	0.6851698303
239	0.6851690674
240	0.6851647186
241	0.6851489258
242	0.6851380157
243	0.6851260376
244	0.6850892639
245	0.6850878906
246	0.6850808716
247	0.6850661469
248	0.6850592041
249	0.6850548553
250	0.6850508118
251	0.6850439453
252	0.6850373077
253	0.6850335693
254	0.6850170135
255	0.685014267
256	0.684989624
257	0.6849861145
258	0.6849794769
259	0.6849397278
260	0.6849328613
261	0.6849253082
262	0.6849234772
263	0.6849176025
264	0.6848742676
265	0.6848603821
266	0.6848564148
267	0.684855423
268	0.684851532
269	0.6848458099
270	0.6848409271
271	0.6848364258
272	0.6848314667
273	0.6848138428
274	0.68480896
275	0.6848035431
276	0.684801178
277	0.6847975922
278	0.6847782898
279	0.6847759247
280	0.6847684479
281	0.6847635651
282	0.684757309
283	0.684755249
284	0.684752121
285	0.6847364044
286	0.6847318268
287	0.6847091675
288	0.6846781921
289	0.6846511841
290	0.6846492767
291	0.684646759
292	0.6846435547
293	0.6846395874
294	0.6846327209
295	0.6845970917
296	0.6845743561
297	0.6845722198
298	0.6845586395
299	0.6845552063
300	0.6845503235
301	0.6845443726
302	0.6845425415
303	0.6845159912
304	0.6845124817
305	0.6844604492
306	0.6844569397
307	0.6844555664
308	0.6844345093
309	0.6844319916
310	0.6844287109
311	0.6844255066
312	0.6844147491
313	0.6844114685
314	0.6843839264
315	0.6843222046
316	0.6843204498
317	0.6843162537
318	0.6843029785
319	0.6843000031
320	0.6842758179
321	0.6842661285
322	0.6842500305
323	0.6842500305
324	0.6842446899
325	0.6842454529
326	0.6842082214
327	0.68420578
328	0.6841732788
329	0.684158783
330	0.6841564941
331	0.684155426
332	0.6841508484
333	0.6841365051
334	0.6841101074
335	0.6841080475
336	0.6841060638
337	0.6840846252
338	0.6840765381
339	0.6840698242
340	0.6840605164
341	0.6840539551
342	0.6840505219
343	0.6840379333
344	0.6840325928
345	0.6839978027
346	0.6839944458
347	0.6839891052
348	0.6839809418
349	0.683948822
350	0.6839208221
351	0.6838982391
352	0.6838954163
353	0.6838896179
354	0.6838791656
355	0.6838518524
356	0.6838426208
357	0.6838386536
358	0.6838410187
359	0.6838311768
360	0.6838148499
361	0.6838140869
362	0.6838011169
363	0.683795929
364	0.6837867737
365	0.6837802124
366	0.683775177
367	0.6837750244
368	0.6837524414
369	0.683747406
370	0.6837440491
371	0.6837402344
372	0.6837237549
373	0.6837162018
374	0.6837015533
375	0.6837012482
376	0.6836856842
377	0.683679657
378	0.683649292
379	0.6836450195
380	0.6836438751
381	0.6836205292
382	0.6836206055
383	0.6836173248
384	0.6836140442
385	0.6836114502
386	0.6836083984
387	0.6835770416
388	0.6835644531
389	0.6835594177
390	0.6835562134
391	0.6835551453
392	0.6835359192
393	0.6835340881
394	0.6835302734
395	0.6835097504
396	0.6834796906
397	0.6834754944
398	0.683470993
399	0.6834716797
400	0.6834662628
401	0.6834500122
402	0.6834465027
403	0.6834445953
404	0.6834196472
405	0.6834120178
406	0.6834075928
407	0.6834020233
408	0.6833975983
409	0.6833880615
410	0.6833853912
411	0.6833773804
412	0.6833755493
413	0.6833764648
414	0.683371048
415	0.683361969
416	0.6833573151
417	0.683348465
418	0.6833474731
419	0.6833460999
420	0.68334198
421	0.683341217
422	0.6833294678
423	0.6833103943
424	0.6833081818
425	0.6832911682
426	0.6832896423
427	0.6832635498
428	0.6832611084
429	0.6832579041
430	0.6832583618
431	0.6832532501
432	0.6832524109
433	0.6832250977
434	0.683223877
435	0.6831997681
436	0.6831945038
437	0.6831871796
438	0.6831834412
