iter	Passed	Remaining
0	0	698
1	1	614
2	1	518
3	1	469
4	2	491
5	3	510
6	3	534
7	4	547
8	4	531
9	5	522
10	5	521
11	6	514
12	6	502
13	7	496
14	7	517
15	8	515
16	8	517
17	9	531
18	10	543
19	11	542
20	11	540
21	12	537
22	12	536
23	13	528
24	13	522
25	13	516
26	14	516
27	14	513
28	15	513
29	15	512
30	16	509
31	16	511
32	17	512
33	18	511
34	18	509
35	18	504
36	19	502
37	19	504
38	20	505
39	20	501
40	21	500
41	21	497
42	22	501
43	22	498
44	23	496
45	23	494
46	24	491
47	24	493
48	25	490
49	25	491
50	26	492
51	27	492
52	27	496
53	28	493
54	28	491
55	28	488
56	29	485
57	29	483
58	30	483
59	30	483
60	31	484
61	31	482
62	32	481
63	32	480
64	33	478
65	33	479
66	34	478
67	35	481
68	35	482
69	36	482
70	36	483
71	37	486
72	39	495
73	39	498
74	41	508
75	41	510
76	43	518
77	44	526
78	45	530
79	46	529
80	46	527
81	46	525
82	47	522
83	48	524
84	49	528
85	49	529
86	50	530
87	51	531
88	51	531
89	52	531
90	53	531
91	53	530
92	61	597
93	62	601
94	62	600
95	63	597
96	64	602
97	70	647
98	71	647
99	71	647
100	72	649
101	74	651
102	75	655
103	76	656
104	77	657
105	77	654
106	78	651
107	78	648
108	79	645
109	79	644
110	80	642
111	80	639
112	81	637
113	81	634
114	82	633
115	82	631
116	83	629
117	83	626
118	84	624
119	84	622
120	85	619
121	85	618
122	86	617
123	87	615
124	87	613
125	88	610
126	88	608
127	90	614
128	91	617
129	92	617
130	94	626
131	95	626
132	96	627
133	96	626
134	97	623
135	97	620
136	98	617
137	98	615
138	99	613
139	99	612
140	100	610
141	100	607
142	100	605
143	101	604
144	102	601
145	102	600
146	103	599
147	103	598
148	104	597
149	105	595
150	105	593
151	106	591
152	106	590
153	107	590
154	108	589
155	108	588
156	109	586
157	109	585
158	111	590
159	112	589
160	112	588
161	113	586
162	114	586
163	114	585
164	115	584
165	116	583
166	119	597
167	121	604
168	123	605
169	124	607
170	126	612
171	128	619
172	129	621
173	131	625
174	133	629
175	133	627
176	134	625
177	135	626
178	136	625
179	137	627
180	138	627
181	139	627
182	140	626
183	140	623
184	141	621
185	141	619
186	141	616
187	142	614
188	142	612
189	143	613
190	144	612
191	145	611
192	145	609
193	146	608
194	147	609
195	148	609
196	149	608
197	149	606
198	150	605
199	151	604
200	151	602
201	152	600
202	153	600
203	153	599
204	154	598
205	155	599
206	156	597
207	156	596
208	158	599
209	159	598
210	159	597
211	160	594
212	160	593
213	161	592
214	161	590
215	162	589
216	162	587
217	164	589
218	165	591
219	166	589
220	166	587
221	167	588
222	169	590
223	170	589
224	170	587
225	172	591
226	173	591
227	174	590
228	174	589
229	175	589
230	176	587
231	177	586
232	178	586
233	178	585
234	179	585
235	180	584
236	181	583
237	181	582
238	182	580
239	182	578
240	182	576
241	183	574
242	184	573
243	184	572
244	185	570
245	185	568
246	185	566
247	186	564
248	186	562
249	186	560
250	187	558
251	187	557
252	188	555
253	188	553
254	188	551
255	189	549
256	189	548
257	189	546
258	190	544
259	190	543
260	191	541
261	191	539
262	191	537
263	192	536
264	192	534
265	193	534
266	194	533
267	195	533
268	199	541
269	201	544
270	202	544
271	203	543
272	203	543
273	204	542
274	205	541
275	206	541
276	215	563
277	216	562
278	217	561
279	217	559
280	218	559
281	221	562
282	222	563
283	223	563
284	224	562
285	225	561
286	225	560
287	226	559
288	226	557
289	227	556
290	227	554
291	227	552
292	228	550
293	228	549
294	230	550
295	231	551
296	232	550
297	232	548
298	233	547
299	234	546
300	234	544
301	235	543
302	235	541
303	236	540
304	236	538
305	237	537
306	237	536
307	237	534
308	238	533
309	238	531
310	239	529
311	239	528
312	239	526
313	240	525
314	240	523
315	241	521
316	241	520
317	241	518
318	242	517
319	242	516
320	243	514
321	243	513
322	244	512
323	244	510
324	245	508
325	245	507
326	245	505
327	246	504
328	246	503
329	247	501
330	247	500
331	248	499
332	248	498
333	249	497
334	250	496
335	250	495
336	251	495
337	252	494
338	252	493
339	253	492
340	255	494
341	256	493
342	257	493
343	258	492
344	258	491
345	259	489
346	259	488
347	260	487
348	260	485
349	260	484
350	261	483
351	262	482
352	262	481
353	262	479
354	263	478
355	263	477
356	264	476
357	264	475
358	265	474
359	265	472
360	266	471
361	266	470
362	267	468
363	267	467
364	267	465
365	268	464
366	268	463
367	268	461
368	269	460
369	269	459
370	270	457
371	270	456
372	270	455
373	271	453
374	271	452
375	271	451
376	272	449
377	272	448
378	273	447
379	273	446
380	273	444
381	274	443
382	274	442
383	274	440
384	275	439
385	275	438
386	276	437
387	276	436
388	276	435
389	277	434
390	278	433
391	279	434
392	281	434
393	282	434
394	282	433
395	288	439
396	290	441
397	291	440
398	291	439
399	292	438
400	292	437
401	293	436
402	293	435
403	294	433
404	302	444
405	306	448
406	307	447
407	307	446
408	308	445
409	309	444
410	309	443
411	310	442
412	310	441
413	310	439
414	311	438
415	311	437
416	312	436
417	312	435
418	312	433
419	313	432
420	313	431
421	313	429
422	314	428
423	314	427
424	315	426
425	315	425
426	316	424
427	316	423
428	316	421
429	317	420
430	317	419
431	319	419
432	320	419
433	321	418
434	323	420
435	324	420
436	325	419
437	326	418
438	326	417
439	327	416
440	328	415
441	328	414
442	328	413
443	329	412
444	329	411
445	330	410
446	331	409
447	331	408
448	333	409
449	333	408
450	334	407
451	334	406
452	335	405
453	335	404
454	336	403
455	337	402
456	338	402
457	339	401
458	339	400
459	340	399
460	343	401
461	344	400
462	344	399
463	345	398
464	345	397
465	346	396
466	347	396
467	347	394
468	347	393
469	348	393
470	349	392
471	349	391
472	350	390
473	351	389
474	351	388
475	352	388
476	353	387
477	354	387
478	355	386
479	356	385
480	356	384
481	356	383
482	357	382
483	357	381
484	358	380
485	358	379
486	359	378
487	360	377
488	360	376
489	361	376
490	361	374
491	362	373
492	362	372
493	363	371
494	363	370
495	363	369
496	364	368
497	365	368
498	366	367
499	367	367
500	367	366
501	367	365
502	368	364
503	368	363
504	369	361
505	369	360
506	370	359
507	370	359
508	371	358
509	372	357
510	372	356
511	374	356
512	379	359
513	380	359
514	381	358
515	382	358
516	389	363
517	391	363
518	391	362
519	391	361
520	392	360
521	392	359
522	392	358
523	393	357
524	393	356
525	394	355
526	394	354
527	398	356
528	399	355
529	400	355
530	401	354
531	402	354
532	403	353
533	407	355
534	408	355
535	409	354
536	410	353
537	410	352
538	411	351
539	411	350
540	412	349
541	413	349
542	413	348
543	414	347
544	414	346
545	415	345
546	416	344
547	416	343
548	417	343
549	418	342
550	418	341
551	419	340
552	421	340
553	422	339
554	422	338
555	422	337
556	423	336
557	423	335
558	424	334
559	425	334
560	425	333
561	427	333
562	428	332
563	429	331
564	429	330
565	430	329
566	431	329
567	432	328
568	432	327
569	432	326
570	433	325
571	433	324
572	434	323
573	434	322
574	434	321
575	435	320
576	435	319
577	436	318
578	436	317
579	437	316
580	437	315
581	438	314
582	438	313
583	439	313
584	439	312
585	440	311
586	440	310
587	441	309
588	441	308
589	441	307
590	442	306
591	442	305
592	443	304
593	443	303
594	444	302
595	444	301
596	445	300
597	445	299
598	446	298
599	446	297
600	447	296
601	447	296
602	448	295
603	448	294
604	449	293
605	449	292
606	449	291
607	450	290
608	450	289
609	451	288
610	451	287
611	451	286
612	452	285
613	452	284
614	452	283
615	453	282
616	453	281
617	453	280
618	454	279
619	454	278
620	455	277
621	455	276
622	456	276
623	456	275
624	457	274
625	457	273
626	457	272
627	457	271
628	458	270
629	458	269
630	459	268
631	459	267
632	459	266
633	460	265
634	460	264
635	461	264
636	461	263
637	462	262
638	462	261
639	463	260
640	464	260
641	465	259
642	465	258
643	465	257
644	466	256
645	466	255
646	467	254
647	467	253
648	467	253
649	468	252
650	469	251
651	470	251
652	471	250
653	472	249
654	473	249
655	473	248
656	473	247
657	474	246
658	474	245
659	475	244
660	476	244
661	476	243
662	477	242
663	477	241
664	478	240
665	478	240
666	479	239
667	479	238
668	480	237
669	480	236
670	481	236
671	482	235
672	482	234
673	482	233
674	483	232
675	483	231
676	484	230
677	484	230
678	484	229
679	485	228
680	485	227
681	485	226
682	486	225
683	486	224
684	487	224
685	487	223
686	488	222
687	488	221
688	489	220
689	490	220
690	490	219
691	491	218
692	491	217
693	492	216
694	492	216
695	492	215
696	493	214
697	493	213
698	494	212
699	494	211
700	494	211
701	495	210
702	495	209
703	496	208
704	497	207
705	497	207
706	497	206
707	498	205
708	498	204
709	499	203
710	499	203
711	501	202
712	502	202
713	503	201
714	503	200
715	505	200
716	505	199
717	506	198
718	506	197
719	506	197
720	507	196
721	507	195
722	508	194
723	509	194
724	510	193
725	510	192
726	511	192
727	512	191
728	512	190
729	512	189
730	513	188
731	513	188
732	514	187
733	515	186
734	515	185
735	515	185
736	516	184
737	517	183
738	518	183
739	518	182
740	522	182
741	523	181
742	524	181
743	524	180
744	525	179
745	525	179
746	526	178
747	527	177
748	527	176
749	528	176
750	529	175
751	529	174
752	530	174
753	531	173
754	532	172
755	533	172
756	534	171
757	535	170
758	535	170
759	535	169
760	536	168
761	536	167
762	537	166
763	537	166
764	537	165
765	538	164
766	538	163
767	538	162
768	539	162
769	539	161
770	540	160
771	540	159
772	541	158
773	541	158
774	541	157
775	542	156
776	542	155
777	543	154
778	543	154
779	543	153
780	544	152
781	544	151
782	545	151
783	545	150
784	545	149
785	546	148
786	546	147
787	547	147
788	547	146
789	548	145
790	550	145
791	551	144
792	552	144
793	553	143
794	553	142
795	553	141
796	554	141
797	554	140
798	555	139
799	555	138
800	556	138
801	557	137
802	557	136
803	558	136
804	558	135
805	559	134
806	559	133
807	560	133
808	561	132
809	561	131
810	562	131
811	562	130
812	563	129
813	563	128
814	564	128
815	564	127
816	565	126
817	565	125
818	566	125
819	567	124
